,Contact_ID,Start_Date,Prospect Outcome,Prospect Status,Prospect Renewal Date,Renewal Month,Payment Method,Renewal Score at release,Proforma Membership Status,Anchor or Indie,Anchor Group,Proforma Approved Lists,Tenure (Years),Tenure Group,Band,Date Paid,Payment Timeframe,Payment Time Frame 2,Payment Time Frame 3,Total Net Paid,Starting Net,Auto Renewal - Proforma Release,Now on Auto Renewal,Process
1669,539384000819,2024-09-23,Won,Renewed,2024-10-20,2024-10-01,CARD,26.0,Accredited,Independent,Independent,0,8,4+,Band B,2024-10-20 04:01:35.100,0.0,On Renewal Date,Paid on Time,599.0,599,1,0,process
1670,539384010579,2024-09-23,Won,Renewed,2024-10-20,2024-10-01,CARD,24.5,Accredited,Anchored,1,1,1,1,Band C1,2024-10-20 04:01:49.020,0.0,On Renewal Date,Paid on Time,919.0,919,1,1,process
1671,539384014792,2024-09-23,Lost,Do Not Work for Client,2024-10-06,2024-10-01,,22.5,Member Only,Independent,Independent,0,4,4+,Band A,,,,,,459,0,0,process
1672,539384017506,2024-09-23,Lost,Cannot Pass Audit,2024-10-19,2024-10-01,,22.0,Member Only,Anchored,2,2,1,1,Band B,,,,,,704,1,0,process
1673,539384021182,2024-09-23,Won,Renewed,2024-10-06,2024-10-01,BACS,26.0,Accredited,Anchored,1,1,2,2,Band D,2024-10-16 00:00:00.000,10.0,Within 13 Days After Renewal,Paid Late,1279.0,1279,0,0,process
1674,539384023975,2024-09-23,Won,Renewed,2024-10-18,2024-10-01,CARD,22.0,Member Only,Independent,Independent,0,2,2,Band B,2024-09-27 09:29:37.177,-21.0,Within 1 Month Prior to Renewal,Paid Early,704.0,704,1,1,process
1675,539384025481,2024-09-23,Won,Renewed,2024-10-06,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,10,4+,Band D,2024-10-10 11:33:48.737,4.0,Within 13 Days After Renewal,Paid Late,1159.0,1159,0,1,process
1676,539384028576,2024-09-23,Won,Renewed,2024-10-19,2024-10-01,CARD,26.5,Accredited,Anchored,2,2,3,3,Band D,2024-10-19 04:00:39.717,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1677,539384035625,2024-09-23,Won,Renewed,2024-10-19,2024-10-01,CARD,20.5,Member Only,Independent,Independent,0,1,1,Band B,2024-10-19 04:00:47.360,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
1678,539384038002,2024-09-23,Won,Renewed,2024-10-06,2024-10-01,CARD,23.0,Member Only,Anchored,1,1,2,2,Band D,2024-10-01 12:03:16.753,-5.0,Within 13 Days Prior to Renewal,Paid Early,1159.0,1159,1,1,process
1679,539384039886,2024-09-23,Won,Renewed,2024-10-18,2024-10-01,CARD,23.0,Member Only,Independent,Independent,0,12,4+,Band B,2024-10-18 04:00:28.690,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
1680,539384044997,2024-09-23,Won,Renewed,2024-10-19,2024-10-01,CARD,24.5,Accredited,Anchored,1,1,1,1,Band B,2024-10-31 13:50:32.423,12.0,Within 13 Days After Renewal,Paid Late,499.0,704,1,0,process
1681,539384050928,2024-09-23,Won,Renewed,2024-10-20,2024-10-01,CARD,26.0,Accredited,Anchored,1,1,2,2,Band B,2024-10-20 04:01:43.823,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
1682,539384062555,2024-09-23,Won,Renewed,2024-10-19,2024-10-01,CARD,20.5,Member Only,Independent,Independent,0,1,1,Band B,2024-10-19 04:00:45.910,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
1683,539384064656,2024-09-23,Won,Renewed,2024-10-18,2024-10-01,CARD,25.0,Accredited,Anchored,2,2,1,1,Band E,2024-10-18 04:00:35.753,0.0,On Renewal Date,Paid on Time,1469.0,1469,1,1,process
1684,539384065028,2024-09-23,Won,Renewed,2024-10-20,2024-10-01,CARD,24.0,Member Only,Anchored,1,1,7,4+,Band D,2024-10-20 04:01:38.807,0.0,On Renewal Date,Paid on Time,1309.0,1309,1,1,process
1685,539384066720,2024-09-23,Won,Renewed,2024-10-17,2024-10-01,CARD,20.5,Member Only,Independent,Independent,0,1,1,Band B,2024-10-17 04:00:53.897,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
1686,539384070618,2024-09-23,Won,Renewed,2024-10-19,2024-10-01,CARD,20.5,Member Only,Independent,Independent,0,1,1,Band B,2024-10-19 04:00:46.463,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
1687,539384072208,2024-09-23,Won,Renewed,2024-10-18,2024-10-01,CARD,25.0,Accredited,Independent,Independent,0,2,2,Band B,2024-10-18 04:00:39.547,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
1688,539384076661,2024-09-23,Won,Renewed,2024-10-06,2024-10-01,CARD,23.5,Accredited,Independent,Independent,0,1,1,Band A,2024-09-23 14:39:20.410,-13.0,Within 13 Days Prior to Renewal,Paid Early,459.0,459,0,1,process
1689,539384080362,2024-09-23,Won,Renewed,2024-10-05,2024-10-01,BACS,24.0,Member Only,Anchored,1,1,7,4+,Band D,2024-10-29 00:00:00.000,24.0,Within 1 Month After Renewal,Paid Late,1159.0,1159,0,0,process
1690,539384081653,2024-09-23,Lost,Not Affordable,2024-10-05,2024-10-01,,23.0,Member Only,Anchored,1,1,3,3,Band A,,,,,,399,0,0,process
1691,539384081705,2024-09-23,Won,Renewed,2024-10-18,2024-10-01,CARD,25.0,Member Only,Anchored,4-9,5,7,4+,Band B,2024-10-18 04:00:25.677,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
1692,539384082077,2024-09-23,Won,Renewed,2024-10-05,2024-10-01,BACS,24.0,Member Only,Anchored,1,1,7,4+,Band D,2024-10-29 00:00:00.000,24.0,Within 1 Month After Renewal,Paid Late,1159.0,1159,0,0,process
1693,539384087233,2024-09-23,Won,Renewed,2024-10-18,2024-10-01,CARD,24.5,In Progress,Anchored,1,1,2,2,Band B,2024-10-18 04:00:41.350,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
1694,539384087680,2024-09-23,Won,Renewed,2024-10-05,2024-10-01,BACS,24.5,In Progress,Anchored,1,1,3,3,Band C1,2024-10-08 00:00:00.000,3.0,Within 13 Days After Renewal,Paid Late,919.0,919,0,0,process
1695,539384096994,2024-09-23,Won,Application and Money In,2024-10-19,2024-10-01,BACS,24.5,Accredited,Anchored,1,1,1,1,Band C1,2024-10-23 00:00:00.000,4.0,Within 13 Days After Renewal,Paid Late,919.0,919,1,1,process
1696,539384098823,2024-09-23,Won,Renewed,2024-10-05,2024-10-01,,26.0,Accredited,Anchored,1,1,2,2,Band D,2025-01-15 16:58:00.000,102.0,2-3 Months After Renewal,Paid Late,1074.2,1309,0,0,process
1697,539384267742,2024-09-24,Won,Renewed,2024-10-08,2024-10-01,BACS,22.0,Member Only,Independent,Independent,0,3,3,Band C1,2024-10-08 00:00:00.000,0.0,On Renewal Date,Paid on Time,799.0,799,0,0,process
1698,539384279325,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,25.0,In Progress,Anchored,1,1,4,4+,Band B,2024-10-08 16:41:12.913,1.0,Within 13 Days After Renewal,Paid Late,599.0,599,1,1,process
1699,539384288542,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,28.0,Accredited,Anchored,4-9,5,9,4+,Band C2,2024-10-07 12:38:36.073,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
1700,539384289900,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,BACS,28.0,Accredited,Anchored,4-9,5,15,4+,Band D,2024-10-07 00:00:00.000,0.0,On Renewal Date,Paid on Time,1159.0,1159,0,0,process
1701,539384293862,2024-09-24,Won,Renewed,2024-10-03,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,16,4+,Band C1,2024-09-24 09:04:19.360,-9.0,Within 13 Days Prior to Renewal,Paid Early,799.0,799,1,1,process
1702,539384295452,2024-09-24,Won,Renewed,2024-10-03,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,16,4+,Band C1,2024-09-24 09:04:19.360,-9.0,Within 13 Days Prior to Renewal,Paid Early,799.0,799,1,1,process
1703,539384330980,2024-09-24,Lost,No Longer Trading,2024-10-27,2024-10-01,,22.0,Member Only,Independent,Independent,0,2,2,Band B,,,,,,704,1,0,process
1704,539384339876,2024-09-24,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,28.0,Accredited,Anchored,4-9,5,17,4+,Band F1,2024-10-04 04:00:24.013,0.0,On Renewal Date,Paid on Time,1849.0,1849,1,1,process
1705,539384347080,2024-09-24,Won,Renewed,2024-10-04,2024-10-01,BACS,27.5,Accredited,Anchored,2,2,11,4+,Band F1,2024-10-04 00:00:00.000,0.0,On Renewal Date,Paid on Time,2039.0,2039,1,0,process
1706,539384347342,2024-09-24,Won,Renewed,2024-10-02,2024-10-01,CARD,28.0,Accredited,Anchored,10+,13,12,4+,Band E,2024-10-02 04:00:37.733,0.0,On Renewal Date,Paid on Time,1469.0,1469,1,1,process
1707,539384353827,2024-09-24,Won,Renewed,2024-10-02,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,11,4+,Band C2,2024-10-02 04:00:49.057,0.0,On Renewal Date,Paid on Time,1069.0,1069,1,1,process
1708,539384382394,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,BACS,28.0,Accredited,Anchored,4-9,6,8,4+,Band E,2024-10-08 00:00:00.000,1.0,Within 13 Days After Renewal,Paid Late,1469.0,1469,0,0,process
1709,539384383402,2024-09-24,Won,Renewed,2024-10-02,2024-10-01,CARD,20.5,Member Only,Independent,Independent,0,1,1,Band C1,2024-10-28 14:07:31.873,26.0,Within 1 Month After Renewal,Paid Late,699.4,799,0,1,process
1710,539384395455,2024-09-24,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,27.5,Accredited,Anchored,2,2,11,4+,Band C1,2024-10-03 04:00:27.697,0.0,On Renewal Date,Paid on Time,919.0,919,1,1,process
1711,539384404207,2024-09-24,Won,Application and Money In,2024-10-07,2024-10-01,BACS,26.0,Accredited,Anchored,1,1,3,3,Band C1,2024-11-22 00:00:00.000,46.0,1-2 Months After Renewal,Paid Late,649.0,799,0,0,process
1712,539384410652,2024-09-24,Won,Renewed,2024-10-02,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,15,4+,Band C1,2024-10-02 04:00:41.943,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
1713,539384418944,2024-09-24,Won,Renewed,2024-10-06,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,7,8,4+,Band C1,2024-10-15 15:55:57.297,9.0,Within 13 Days After Renewal,Paid Late,919.0,919,1,1,process
1714,539384447509,2024-09-24,Won,Renewed,2024-10-06,2024-10-01,BACS,26.0,Accredited,Anchored,1,1,2,2,Band D,2024-10-16 00:00:00.000,10.0,Within 13 Days After Renewal,Paid Late,1279.0,1279,0,0,process
1715,539384448322,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,CARD,26.0,Accredited,Independent,Independent,0,10,4+,Band B,2024-09-30 15:36:29.140,-7.0,Within 13 Days Prior to Renewal,Paid Early,684.0,684,0,1,process
1716,539384481187,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,27.5,Accredited,Anchored,2,2,11,4+,Band B,2024-10-07 04:00:48.593,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
1717,539384490261,2024-09-24,Won,Renewed,2024-10-09,2024-10-01,BACS,23.0,In Progress,Anchored,1,1,1,1,Band D,2024-10-07 00:00:00.000,-2.0,Within 13 Days Prior to Renewal,Paid Early,1159.0,1159,1,1,process
1718,539384490407,2024-09-24,Won,Renewed,2024-10-21,2024-10-01,BACS,28.0,Accredited,Anchored,4-9,7,8,4+,Band D,2024-09-25 00:00:00.000,-26.0,Within 1 Month Prior to Renewal,Paid Early,1159.0,1159,1,1,process
1719,539384507968,2024-09-24,Won,Renewed,2024-10-02,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,4,15,4+,Band C2,2024-10-02 04:00:39.480,0.0,On Renewal Date,Paid on Time,1069.0,1069,1,1,process
1720,539384515259,2024-09-24,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,28.0,Accredited,Anchored,10+,14,13,4+,Band C2,2024-10-04 10:17:09.380,0.0,On Renewal Date,Paid on Time,1069.0,1069,1,1,process
1721,539384524015,2024-09-24,Lost,No Longer Trading,2024-10-04,2024-10-01,,28.0,Accredited,Anchored,4-9,5,7,4+,Band C1,,,,,,799,1,0,process
1722,539384526744,2024-09-24,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,28.0,Accredited,Anchored,3,3,7,4+,Band B,2024-10-05 04:01:24.110,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
1723,539384527365,2024-09-24,Won,Renewed,2024-10-06,2024-10-01,CARD,23.0,Member Only,Anchored,1,1,2,2,Band D,2024-10-01 12:03:16.753,-5.0,Within 13 Days Prior to Renewal,Paid Early,1159.0,1159,1,1,process
1724,539384529286,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,27.0,Accredited,Anchored,1,1,15,4+,Band C1,2024-10-07 04:00:46.080,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
1725,539384541979,2024-09-24,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,27.5,Accredited,Anchored,4-9,6,6,4+,Band D,2024-10-05 04:01:17.650,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1726,539384543582,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,26.0,Accredited,Independent,Independent,0,11,4+,Band C2,2024-10-08 09:07:50.903,1.0,Within 13 Days After Renewal,Paid Late,949.0,949,0,1,process
1727,539384546649,2024-09-24,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,27.5,Accredited,Anchored,2,2,10,4+,Band C2,2024-10-03 04:00:26.067,0.0,On Renewal Date,Paid on Time,1069.0,1069,1,1,process
1728,539384561536,2024-09-24,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,27.0,Accredited,Anchored,2,2,5,4+,Band E,2024-10-04 04:00:34.137,0.0,On Renewal Date,Paid on Time,1499.0,1499,1,1,process
1729,539384564757,2024-09-24,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,27.0,Accredited,Anchored,1,1,12,4+,Band C1,2024-10-05 04:01:18.630,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
1730,539384587994,2024-09-24,Won,Renewed,2024-10-09,2024-10-01,CARD,27.5,Accredited,Anchored,3,3,6,4+,Band C2,2024-09-26 11:05:02.047,-13.0,Within 13 Days Prior to Renewal,Paid Early,949.0,949,1,1,process
1731,539384614549,2024-09-24,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,28.0,Accredited,Anchored,3,3,8,4+,Band C1,2024-10-03 04:00:29.093,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
1732,539384614731,2024-09-24,Won,Renewed,2024-10-13,2024-10-01,CARD,27.5,Accredited,Anchored,2,2,20,4+,Band B,2024-10-13 04:00:26.860,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
1733,539384615361,2024-09-24,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,27.5,Accredited,Anchored,2,2,7,4+,Band E,2024-10-04 04:00:27.890,0.0,On Renewal Date,Paid on Time,1349.0,1349,1,1,process
1734,539384618607,2024-09-24,Won,Renewed,2024-10-15,2024-10-01,CARD,27.0,Accredited,Anchored,4-9,8,3,3,Band E,2024-10-15 04:00:58.993,0.0,On Renewal Date,Paid on Time,1499.0,1499,1,1,process
1735,539384643715,2024-09-24,Won,Renewed,2024-10-01,2024-10-01,CARD,27.0,Accredited,Anchored,2,2,6,4+,Band D,2024-10-01 04:00:29.340,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1736,539384644623,2024-09-24,Won,Renewed,2024-10-13,2024-10-01,CARD,24.5,Accredited,Anchored,1,1,1,1,Band B,2024-10-13 04:00:55.833,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
1737,539384648029,2024-09-24,Won,Renewed,2024-10-01,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,7,21,4+,Band D,2024-10-01 11:42:12.497,0.0,On Renewal Date,Paid on Time,1279.0,1279,1,1,process
1738,539384648436,2024-09-24,Won,Renewed,2024-10-15,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,9,4+,Band B,2024-10-15 04:01:05.050,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
1739,539384653186,2024-09-24,Won,Renewed,2024-10-16,2024-10-01,CARD,28.0,Accredited,Anchored,10+,17,21,4+,Band E,2024-10-16 04:00:27.317,0.0,On Renewal Date,Paid on Time,1499.0,1499,1,1,process
1740,539384653284,2024-09-24,Won,Renewed,2024-10-01,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,6,9,4+,Band F1,2024-10-01 04:00:32.290,0.0,On Renewal Date,Paid on Time,2009.0,2009,1,1,process
1741,539384653927,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,BACS,28.0,Accredited,Anchored,4-9,6,15,4+,Band E,2024-10-11 00:00:00.000,4.0,Within 13 Days After Renewal,Paid Late,1469.0,1469,1,1,process
1742,539384654722,2024-09-24,Won,Renewed,2024-10-15,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,20,4+,Band A,2024-10-15 04:00:57.450,0.0,On Renewal Date,Paid on Time,459.0,459,1,1,process
1743,539384666562,2024-09-24,Won,Invoiced,2024-10-08,2024-10-01,WORLD PAY,27.0,Accredited,Anchored,1,1,10,4+,Band B,2024-10-08 13:25:38.637,0.0,On Renewal Date,Paid on Time,704.0,704,1,0,process
1744,539384667689,2024-09-24,Won,Renewed,2024-10-16,2024-10-01,CARD,27.5,Accredited,Anchored,2,2,7,4+,Band F1,2024-10-16 04:00:32.367,0.0,On Renewal Date,Paid on Time,1849.0,1849,1,1,process
1745,539384669398,2024-09-24,Won,Renewed,2024-10-12,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,8,14,4+,Band C2,2024-10-14 11:33:13.853,2.0,Within 13 Days After Renewal,Paid Late,1069.0,1069,1,1,process
1746,539384677668,2024-09-24,Won,Renewed,2024-10-18,2024-10-01,CARD,27.5,Accredited,Anchored,2,2,12,4+,Band C1,2024-10-18 04:00:28.073,0.0,On Renewal Date,Paid on Time,919.0,919,1,1,process
1747,539384685780,2024-09-24,Lost,Do Not Work for Client,2024-10-19,2024-10-01,,27.0,Accredited,Anchored,1,1,8,4+,Band D,,,,,,1159,1,0,process
1748,539384706793,2024-09-24,Won,Renewed,2024-10-08,2024-10-01,BACS,27.5,Accredited,Anchored,10+,19,6,4+,Band D,2024-10-10 00:00:00.000,2.0,Within 13 Days After Renewal,Paid Late,1159.0,1159,1,1,process
1749,539384715111,2024-09-24,Won,Renewed,2024-10-15,2024-10-01,CARD,27.5,Accredited,Anchored,3,3,5,4+,Band D,2024-10-15 04:01:08.397,0.0,On Renewal Date,Paid on Time,1309.0,1309,1,1,process
1750,539384722547,2024-09-24,Won,Renewed,2024-10-09,2024-10-01,WORLD PAY,28.0,Accredited,Anchored,3,3,9,4+,Band D,2024-10-09 04:01:01.080,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1751,539384722714,2024-09-24,Won,Renewed,2024-10-20,2024-10-01,CARD,27.0,Accredited,Anchored,2,2,4,4+,Band A,2024-11-01 14:04:39.960,12.0,Within 13 Days After Renewal,Paid Late,399.0,399,1,0,process
1752,539384726407,2024-09-24,Won,Renewed,2024-10-13,2024-10-01,CARD,24.5,Accredited,Anchored,1,1,1,1,Band B,2024-10-13 04:00:55.833,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
1753,539384731435,2024-09-24,Won,Renewed,2024-10-01,2024-10-01,CARD,27.5,Accredited,Anchored,2,2,9,4+,Band D,2024-10-01 04:00:31.393,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1754,539384734808,2024-09-24,Won,Renewed,2024-10-15,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,8,11,4+,Band F1,2024-10-15 04:01:03.907,0.0,On Renewal Date,Paid on Time,2009.0,2009,1,1,process
1755,539384747242,2024-09-24,Won,Renewed,2024-10-11,2024-10-01,CARD,27.5,Accredited,Anchored,3,3,5,4+,Band C1,2024-10-11 04:00:32.070,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
1756,539384774970,2024-09-24,Won,Renewed,2024-10-12,2024-10-01,CARD,27.0,Accredited,Anchored,2,2,4,4+,Band C2,2024-10-12 04:00:56.160,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
1757,539384779421,2024-09-24,Won,Renewed,2024-10-19,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,8,9,4+,Band D,2024-10-19 04:00:28.177,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1758,539384780986,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,CARD,23.5,Member Only,Anchored,1,1,5,4+,Band C1,2024-10-14 12:45:33.487,7.0,Within 13 Days After Renewal,Paid Late,666.2,799,0,1,process
1759,539384782295,2024-09-24,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,27.5,Accredited,Anchored,2,2,13,4+,Band D,2024-10-03 04:00:24.480,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1760,539384787776,2024-09-24,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,27.5,Accredited,Anchored,2,2,13,4+,Band A,2024-10-04 04:00:21.117,0.0,On Renewal Date,Paid on Time,399.0,399,1,1,process
1761,539384788952,2024-09-24,Won,Renewed,2024-10-12,2024-10-01,CARD,27.0,Accredited,Anchored,2,2,4,4+,Band C2,2024-10-16 11:26:04.990,4.0,Within 13 Days After Renewal,Paid Late,949.0,1069,1,1,process
1762,539384794474,2024-09-24,Lost,Cannot Pass Audit,2024-10-19,2024-10-01,,22.0,Member Only,Anchored,2,2,1,1,Band B,,,,,,704,1,0,process
1763,539384796659,2024-09-24,Won,Renewed,2024-10-20,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,9,4+,Band B,2024-10-20 04:01:32.787,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
1764,539384796963,2024-09-24,Won,Renewed,2024-10-09,2024-10-01,WORLD PAY,28.0,Accredited,Anchored,3,3,9,4+,Band D,2024-10-09 04:01:01.080,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1765,539384804370,2024-09-24,Won,Renewed,2024-10-20,2024-10-01,CARD,27.5,Accredited,Anchored,3,3,4,4+,Band E,2024-10-20 04:01:37.423,0.0,On Renewal Date,Paid on Time,1349.0,1349,1,1,process
1766,539384804901,2024-09-24,Won,Renewed,2024-10-21,2024-10-01,CARD,25.0,Accredited,Independent,Independent,0,2,2,Band C1,2024-10-21 04:01:19.113,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
1767,539384806656,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,28.0,Accredited,Anchored,4-9,4,9,4+,Band C1,2024-10-07 10:36:01.297,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
1768,539384814819,2024-09-24,Won,Renewed,2024-10-21,2024-10-01,CARD,26.0,Accredited,Anchored,1,1,2,2,Band B,2024-10-21 04:01:18.597,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
1769,539384816112,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,27.0,Accredited,Anchored,1,1,11,4+,Band E,2024-10-07 04:00:51.410,0.0,On Renewal Date,Paid on Time,1469.0,1469,1,1,process
1770,539384822734,2024-09-24,Won,Renewed,2024-10-18,2024-10-01,CARD,27.5,Accredited,Anchored,3,3,6,4+,Band C2,2024-10-18 04:00:32.180,0.0,On Renewal Date,Paid on Time,867.6,949,1,1,process
1771,539384822962,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,BACS,22.5,Member Only,Independent,Independent,0,4,4+,Band B,2024-10-07 00:00:00.000,0.0,On Renewal Date,Paid on Time,599.0,599,0,0,process
1772,539384826378,2024-09-24,Won,Renewed,2024-10-13,2024-10-01,CARD,27.0,Accredited,Anchored,2,2,4,4+,Band B,2024-10-13 04:00:40.413,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
1773,539384833219,2024-09-24,Won,Renewed,2024-10-09,2024-10-01,WORLD PAY,27.0,Accredited,Anchored,1,1,11,4+,Band D,2024-10-09 04:00:57.693,0.0,On Renewal Date,Paid on Time,1279.0,1279,1,1,process
1774,539384849159,2024-09-24,Won,Renewed,2024-10-13,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,7,21,4+,Band C1,2024-10-13 04:00:31.740,0.0,On Renewal Date,Paid on Time,919.0,919,1,1,process
1775,539384851652,2024-09-24,Won,Renewed,2024-10-10,2024-10-01,WORLD PAY,27.5,Accredited,Anchored,2,2,7,4+,Band C1,2024-10-10 04:00:50.163,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
1776,539384857795,2024-09-24,Won,Renewed,2024-10-10,2024-10-01,BACS,26.0,Accredited,Independent,Independent,0,10,4+,Band F2,2024-10-03 00:00:00.000,-7.0,Within 13 Days Prior to Renewal,Paid Early,2169.0,2169,1,1,process
1777,539384865563,2024-09-24,Won,Renewed,2024-10-21,2024-10-01,CARD,26.0,Accredited,Independent,Independent,0,9,4+,Band D,2024-10-21 04:01:08.257,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1778,539384870954,2024-09-24,Won,Renewed,2024-10-16,2024-10-01,CARD,27.5,Accredited,Anchored,2,2,17,4+,Band D,2024-10-16 04:00:26.657,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
1779,539384875035,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,BACS,28.0,Accredited,Anchored,4-9,7,10,4+,Band D,2024-09-25 00:00:00.000,-12.0,Within 13 Days Prior to Renewal,Paid Early,1159.0,1159,0,0,process
1780,539384876353,2024-09-24,Won,Renewed,2024-10-16,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,5,21,4+,Band C1,2024-09-25 09:37:27.423,-21.0,Within 1 Month Prior to Renewal,Paid Early,949.0,949,1,0,process
1781,539384885135,2024-09-24,Won,Renewed,2024-10-07,2024-10-01,BACS,24.5,Accredited,Anchored,1,1,124,,Band C1,2024-09-26 00:00:00.000,-11.0,Within 13 Days Prior to Renewal,Paid Early,799.0,799,0,0,process
1782,539384896899,2024-09-24,Won,Renewed,2024-10-12,2024-10-01,CARD,28.0,Accredited,Anchored,3,3,7,4+,Band F1,2024-10-12 04:00:49.137,0.0,On Renewal Date,Paid on Time,2009.0,2009,1,1,process
1783,539384901640,2024-09-24,Won,Renewed,2024-10-14,2024-10-01,CARD,28.0,Accredited,Anchored,4-9,7,16,4+,Band E,2024-10-14 04:00:41.890,0.0,On Renewal Date,Paid on Time,1349.0,1349,1,1,process
1784,539384906673,2024-09-24,Won,Renewed,2024-10-15,2024-10-01,CARD,27.5,Accredited,Anchored,3,3,4,4+,Band C1,2024-10-15 04:01:07.303,0.0,On Renewal Date,Paid on Time,666.2,799,1,1,process
1785,539384910634,2024-09-24,Won,Renewed,2024-10-18,2024-10-01,CARD,27.5,Accredited,Anchored,3,3,6,4+,Band C2,2024-10-18 04:00:32.180,0.0,On Renewal Date,Paid on Time,867.6,949,1,1,process
1786,539384910840,2024-09-24,Won,Renewed,2024-10-18,2024-10-01,CARD,25.0,Accredited,Independent,Independent,0,2,2,Band C2,2024-10-18 04:00:37.443,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
